episode,input_fidelity,samples,legacy_force_norm_mean_n,current_force_norm_mean_n,delta_force_norm_mean_n,delta_percent_force_norm_mean_n,legacy_force_norm_rmse_n,current_force_norm_rmse_n,delta_force_norm_rmse_n,delta_percent_force_norm_rmse_n,legacy_force_norm_p95_n,current_force_norm_p95_n,delta_force_norm_p95_n,delta_percent_force_norm_p95_n,legacy_force_norm_p99_n,current_force_norm_p99_n,delta_force_norm_p99_n,delta_percent_force_norm_p99_n,legacy_force_norm_max_n,current_force_norm_max_n,delta_force_norm_max_n,delta_percent_force_norm_max_n,legacy_force_within_1n_fraction,current_force_within_1n_fraction,delta_force_within_1n_fraction,delta_percent_force_within_1n_fraction,legacy_force_within_2n_fraction,current_force_within_2n_fraction,delta_force_within_2n_fraction,delta_percent_force_within_2n_fraction
episode_021,high_rate_observer_log,3022,2.0813417228307207,0.9213189401097293,-1.1600227827209915,-55.7343741297468,2.2218719076204017,1.0328959128003983,-1.1889759948200034,-53.51235553868551,3.2486492105877516,1.8206753065302819,-1.4279739040574697,-43.955927879302116,3.6117609678095017,2.472609563372621,-1.139151404436881,-31.540055241467577,3.881470494230613,3.8990238051226345,0.01755331089202139,0.4522335263945067,0.09066843150231635,0.6624751819986764,0.57180675049636,630.6569343065693,0.4818001323626737,0.9669093315684977,0.48510919920582396,100.68681318681318
episode_022,high_rate_observer_log,3041,1.7187125186446732,0.847006979232539,-0.8717055394121342,-50.71851923784997,1.8229882285156935,0.9469033359437555,-0.876084892571938,-48.057627518816204,2.855198649219567,1.6859365789359668,-1.1692620702836003,-40.95203920761182,3.003929032751261,2.1186536242732013,-0.8852754084780599,-29.470583320247318,3.543720273152319,3.0907480216959744,-0.45297225145634457,-12.782392980848988,0.09634988490628082,0.7010851693521868,0.604735284445906,627.6450511945393,0.7346267675106872,0.9848733969089115,0.2502466293982243,34.064458370635634
episode_023,high_rate_observer_log,3306,2.023563825846476,1.087095352014437,-0.9364684738320388,-46.27817822550298,2.1491308086892755,1.2803116586227652,-0.8688191500665103,-40.42653646552072,3.1914604998493843,2.4985123510056333,-0.692948148843751,-21.712571685485486,3.790471741832871,3.6351823779770216,-0.15528936385584924,-4.096834759167986,3.9330382946805456,4.529503509087447,0.5964652144069014,15.165507419890206,0.10042347247428918,0.5792498487598307,0.4788263762855415,476.8072289156627,0.4280096793708409,0.9080459770114943,0.48003629764065336,112.15547703180212
episode_024,high_rate_observer_log,3704,1.6621088136260735,0.8642567380199401,-0.7978520756061335,-48.002397259751675,1.7875496471543315,0.9591163740880251,-0.8284332730663064,-46.344630169300245,2.781580016701094,1.6611434784641623,-1.1204365382369315,-40.28057907770527,3.439755972013841,2.1706786143450314,-1.2690773576688095,-36.89440088175252,3.9952254285555178,3.73846754332249,-0.25675788523302767,-6.4266182177824955,0.16981641468682504,0.7108531317494601,0.541036717062635,318.60095389507154,0.7046436285097192,0.9800215982721382,0.275377969762419,39.08045977011494
episode_025,joint_30hz_interpolated,3001,2.017386704990131,0.8575066068366354,-1.1598800981534954,-57.49418766786061,2.12549948203624,0.9467221083374802,-1.1787773736987597,-55.4588407883066,3.114334534762087,1.6671183954750677,-1.4472161392870193,-46.469514534589855,3.275307053749867,2.037795894143519,-1.2375111596063482,-37.783057872071375,3.334087124378429,2.5433165945568224,-0.7907705298216068,-23.717752425831687,0.05898033988670443,0.7060979673442186,0.6471176274575141,1097.1751412429378,0.4995001666111296,0.9873375541486171,0.4878373875374875,97.66511007338225
episode_026,joint_30hz_interpolated,3202,1.7029837975534237,0.8707256399437544,-0.8322581576096693,-48.87058578040058,1.8624757315783589,0.9669255923412532,-0.8955501392371057,-48.083855486168936,2.9853686428325488,1.6740674775432103,-1.3113011652893385,-43.924262701612705,3.3457372063636046,2.205590315210169,-1.1401468911534356,-34.07759847321158,3.6856168694213802,3.02735655345185,-0.6582603159695304,-17.8602480749138,0.21580262336039974,0.6961274203622736,0.48032479700187386,222.57597684515198,0.6436602123672704,0.9825109306683323,0.33885071830106184,52.644347404172734
episode_027,joint_30hz_interpolated,3228,1.930588504515963,0.8261714610772714,-1.1044170434386915,-57.20623741699896,2.048170797640881,0.9201977540814331,-1.127973043559448,-55.072215894234354,2.8827694683004204,1.6417125955959746,-1.2410568727044458,-43.05085392194504,3.2115827492018334,2.0977956909611883,-1.113787058240645,-34.680316380372005,3.977152472484045,2.586935362234802,-1.3902171102492429,-34.95508708472881,0.12267657992565056,0.7335811648079306,0.61090458488228,497.979797979798,0.5238537794299876,0.984820322180917,0.4609665427509294,87.9952690715553
episode_028,joint_30hz_interpolated,3438,1.9129629986016443,0.8664397162276538,-1.0465232823739905,-54.70692758505982,1.9787534458906009,0.9489655266627751,-1.0297879192278256,-52.04225525754356,2.764252939986442,1.6407423059827784,-1.1235106340036636,-40.644277437547885,2.9483846875852024,2.0274608116955655,-0.920923875889637,-31.234861575810708,3.1354923431275563,2.498391422094309,-0.6371009210332472,-20.319007393835918,0.03810354857475276,0.7004072134962187,0.662303664921466,1738.1679389312978,0.56282722513089,0.9886561954624782,0.4258289703315882,75.65891472868218
episode_029,joint_30hz_interpolated,3629,1.70582239634869,0.8967153472599352,-0.8091070490887549,-47.43208031625374,1.8152554541373227,0.9809551111389216,-0.8343003429984011,-45.96049228756576,2.7084554437316344,1.63523226350699,-1.0732231802246444,-39.62491547381659,3.0826504938394987,2.029533587369058,-1.0531169064704407,-34.162708635800094,3.464709140354926,3.401652657268617,-0.06305648308630873,-1.819964693482155,0.149903554698264,0.6649214659685864,0.5150179112703224,343.5661764705882,0.6585836318545054,0.9887021217966382,0.3301184899421328,50.1255230125523
episode_030,joint_30hz_interpolated,2693,1.8554113094174909,0.9076870668507192,-0.9477242425667717,-51.07892992547895,1.9454521558607016,1.0304153416426403,-0.9150368142180614,-47.03466037247435,2.6344215693509785,1.8039932155527976,-0.8304283537981809,-31.52222724940591,3.12396978781844,2.413779056409584,-0.710190731408856,-22.733597942533343,3.7003370014978216,4.013055159199492,0.31271815770167066,8.451072363816827,0.0902339398440401,0.6865948756034163,0.5963609357593762,660.9053497942388,0.5109543260304493,0.9721500185666543,0.46119569253620496,90.26162790697674
